timestamp_utc,run_id,pg_version,query,phase,batch_index,copy_index,batchnum,runs,server_planning_ms,server_execution_ms,plan_nodes,scan_nodes,rows_out,rows_processed,rows_estimated,bytes_processed,rows_removed_filter,workers_launched,relations,shared_hit_blks,shared_read_blks,shared_dirtied_blks,shared_written_blks,temp_read_blks,temp_written_blks,failed,cpu_pkg_temp_c
2026-09-18T12:33:07Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10025.sql,measured,1,1,1,1,2.949,5050.984,18,6,25,20000459,25,436144144,1,4,lineitem;partsupp;orders;customer;supplier;nation,29603268,0,0,0,0,0,0,91.0
2026-09-18T12:33:09Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10026.sql,warmup,1,1,1,1,2.421,1765.114,19,5,10,22954315,10,628753360,0,4,lineitem;supplier;nation;orders;customer,140304,0,0,0,0,0,0,90.0
2026-09-18T12:33:10Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10026.sql,measured,1,1,1,1,2.534,1783.320,19,5,10,22954315,10,628753360,0,4,lineitem;supplier;nation;orders;customer,140304,0,0,0,0,0,0,90.0
2026-09-18T12:33:11Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10027.sql,warmup,1,1,1,1,2.042,602.375,19,6,25,8280532,125,200002290,0,4,lineitem;orders;ixtest_orders_orderdate;customer;nation;region,142569,0,0,0,0,0,0,90.0
2026-09-18T12:33:12Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10027.sql,measured,1,1,1,1,2.153,601.603,19,6,25,8280532,125,200002290,0,4,lineitem;orders;ixtest_orders_orderdate;customer;nation;region,142570,0,0,0,0,0,0,91.0
2026-09-18T12:33:12Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10028.sql,warmup,1,1,1,1,1.345,121.136,9,3,10,229552,10,4285968,0,3,orders;ixtest_orders_orderdate;lineitem,91273,65,0,0,0,0,0,91.0
2026-09-18T12:33:12Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10028.sql,measured,1,1,1,1,1.613,122.929,9,3,10,229552,10,4285968,0,3,orders;ixtest_orders_orderdate;lineitem,91338,0,0,0,0,0,0,91.0
2026-09-18T12:33:14Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10029.sql,warmup,1,1,1,1,2.694,1337.190,20,7,3750,3569514,3750,82790956,29,4,partsupp;nation;region;supplier;ixtest_supplier_nationkey;lineitem;part,5295923,0,0,0,0,0,0,94.0
2026-09-18T12:33:15Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10029.sql,measured,1,1,1,1,2.913,1345.764,20,7,3750,3569527,3750,82791788,29,4,partsupp;nation;region;supplier;ixtest_supplier_nationkey;lineitem;part,5295924,0,0,0,0,0,0,93.0
2026-09-18T12:33:24Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/1003.sql,warmup,1,1,1,1,2.297,9277.353,30,10,5,35123494,2,1567024984,105051,3,fr;supplier;orders;customer;nation;region;partsupp;part,66536,0,0,0,69672,69685,0,85.0
2026-09-18T12:33:34Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/1003.sql,measured,1,1,1,1,2.381,9303.602,30,10,5,35123494,2,1567024984,105051,3,fr;supplier;orders;customer;nation;region;partsupp;part,66536,0,0,0,69672,69685,0,88.0
2026-09-18T12:33:36Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10030.sql,warmup,1,1,1,1,1.513,2107.509,13,4,100,10186371,100,223813960,0,4,lineitem;orders;ixtest_orders_orderdate;customer,142592,0,0,0,0,0,0,85.0
2026-09-18T12:33:38Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10030.sql,measured,1,1,1,1,1.314,2160.390,13,4,100,10186371,100,223813960,0,4,lineitem;orders;ixtest_orders_orderdate;customer,142592,0,0,0,0,0,0,81.0
2026-09-18T12:33:39Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10031.sql,warmup,1,1,1,1,3.135,580.987,15,6,10,1182153,10,37775459,0,0,orders;ixtest_orders_orderdate;lineitem;supplier;partsupp;part,223451,0,0,0,0,0,0,81.0
2026-09-18T12:33:40Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10031.sql,measured,1,1,1,1,2.762,592.607,15,6,10,1182153,10,37775459,0,0,orders;ixtest_orders_orderdate;lineitem;supplier;partsupp;part,223451,0,0,0,0,0,0,78.0
2026-09-18T12:33:41Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10032.sql,warmup,1,1,1,1,1.065,1603.962,8,3,10,7822386,10,120602916,0,0,lineitem;orders;ixtest_orders_orderdate,138932,0,0,0,0,0,0,72.0
2026-09-18T12:33:43Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10032.sql,measured,1,1,1,1,1.013,1593.275,8,3,10,7822386,10,120602916,0,0,lineitem;orders;ixtest_orders_orderdate,138932,0,0,0,0,0,0,77.0
2026-09-18T12:33:45Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10033.sql,warmup,1,1,1,1,1.302,1621.230,10,3,100,5010200,100,279719000,0,0,part;partsupp;supplier,54557,0,0,0,0,0,0,85.0
2026-09-18T12:33:46Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10033.sql,measured,1,1,1,1,1.190,1627.364,10,3,100,5010200,100,279719000,0,0,part;partsupp;supplier,54557,0,0,0,0,0,0,89.0
2026-09-18T12:33:48Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10034.sql,warmup,1,1,1,1,1.848,1534.000,19,5,10,22954315,10,628753360,0,4,lineitem;supplier;nation;orders;customer,140304,0,0,0,0,0,0,93.0
2026-09-18T12:33:50Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10034.sql,measured,1,1,1,1,2.549,1642.994,19,5,10,22954315,10,628753360,0,4,lineitem;supplier;nation;orders;customer,140304,0,0,0,0,0,0,93.0
2026-09-18T12:33:51Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10035.sql,warmup,1,1,1,1,5.684,1188.432,26,8,10,15543836,10,368516480,0,4,lineitem;orders;ixtest_orders_orderdate;customer;partsupp;supplier;nation;part,143043,199,0,0,0,0,0,91.0
2026-09-18T12:33:52Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10035.sql,measured,1,1,1,1,6.095,1072.101,26,8,10,15543836,10,368516480,0,4,lineitem;orders;ixtest_orders_orderdate;customer;partsupp;supplier;nation;part,143243,0,0,0,0,0,0,93.0
2026-09-18T12:33:54Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10036.sql,warmup,1,1,1,1,3.778,1341.950,18,7,10,4282485,10,124345575,29,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;lineitem;part,5170705,0,0,0,0,0,0,84.0
2026-09-18T12:33:55Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10036.sql,measured,1,1,1,1,3.465,1309.098,18,7,10,4282485,10,124345575,29,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;lineitem;part,5170705,0,0,0,0,0,0,84.0
2026-09-18T12:34:06Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10037.sql,warmup,1,1,1,1,4.750,10803.257,19,6,10,61612695,10,1237072470,0,4,lineitem;partsupp;orders;customer;supplier;nation,60126996,0,0,0,36315,36320,0,92.0
2026-09-18T12:34:18Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10037.sql,measured,1,1,1,1,3.747,11929.961,19,6,10,61612695,10,1237072470,0,4,lineitem;partsupp;orders;customer;supplier;nation,60126996,0,0,0,36314,36319,0,96.0
